Linux 4.11.3-1-ARCH (jan-laptop) 	23.06.2017 	_x86_64_	(4 CPU)

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231178  1000         0     31706    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31707    0,00    0,00    0,00    0,00     0      0,33      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31708    0,33    0,00    0,00    0,33     0      1,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31709    0,00    0,00    0,00    0,00     1     22,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31710    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31711    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31712    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31713    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31714    0,00    0,00    0,00    0,00     2      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31715    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31716    0,00    0,00    0,00    0,00     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java
 1498231178  1000         0     31717    0,33    0,00    0,00    0,33     0      0,00      0,00 4281796  611352   8,01     136      36      0,00      0,00      0,00       0  |__java

#      Time   UID      TGID       TID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM StkSize  StkRef   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
 1498231181  1000     31702         0  100,00    3,00    0,00  100,00     1   7671,67      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  java
 1498231181  1000         0     31702    0,00    0,00    0,00    0,00     1      0,00      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31704   89,67    0,33    0,00   90,00     2      0,33      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
 1498231181  1000         0     31705    7,00    0,00    0,00    7,00     0      4,67      0,00 4281796  703028   9,22     136      36      0,00      0,00      0,00       0  |__java
